combo_name,drug_a,drug_b,baseline_risk,after_risk,risk_reduction_pct,n_valid_targets_in_twin,pathway_hits,top_pathway,gene_changes,score_twin,score_path,combo_score
NVP-TAE684 + lapatinib,NVP-TAE684,lapatinib,17.581510543823242,16.588136672973633,5.650105367076111,10,"{'T_Cell_Activation': 1, 'Antigen_Presentation': 1, 'JAK_STAT_Signaling': 1}",T_Cell_Activation,"[{'gene': 'BLK', 'before': 3.2708640098571777, 'after': 1.4514760971069336, 'healthy': 0.028488093987107277, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.8193879127502441}, {'gene': 'BTK', 'before': 5.649329662322998, 'after': 2.4772610664367676, 'healthy': -0.0036918609403073788, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.1720685958862305}, {'gene': 'HLA-A', 'before': 8.712360382080078, 'after': 2.2451510429382324, 'healthy': 0.0894147977232933, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 6.467209339141846}, {'gene': 'HLA-B', 'before': 8.4188814163208, 'after': 2.0346131324768066, 'healthy': -0.09347673505544662, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 6.384268283843994}, {'gene': 'HLA-DQA1', 'before': 2.699897527694702, 'after': 0.7510051727294922, 'healthy': 0.10137441009283066, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.94889235496521}, {'gene': 'JAK2', 'before': 5.95825719833374, 'after': 2.606888771057129, 'healthy': -0.014298329129815102, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.3513684272766113}, {'gene': 'LCK', 'before': 4.559950351715088, 'after': 1.9724912643432617, 'healthy': -0.05122360214591026, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.587459087371826}, {'gene': 'LYN', 'before': 6.022873401641846, 'after': 2.58782958984375, 'healthy': -0.09880254417657852, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.4350438117980957}, {'gene': 'SYK', 'before': 7.0293731689453125, 'after': 3.069737672805786, 'healthy': -0.02719000354409218, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.9596354961395264}, {'gene': 'TYK2', 'before': 5.511632919311523, 'after': 2.3836252689361572, 'healthy': -0.06286629289388657, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.128007650375366}]",1.0,0.5,0.875
NVP-TAE684 + cisplatin,NVP-TAE684,cisplatin,17.581510543823242,16.876197814941406,4.011673098985384,14,"{'Inflammatory_Response': 1, 'T_Cell_Activation': 1, 'JAK_STAT_Signaling': 2, 'Apoptosis_Cell_Stress': 2}",JAK_STAT_Signaling,"[{'gene': 'BAX', 'before': 4.901892185211182, 'after': 2.1589949131011963, 'healthy': -0.033300742506980896, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.7428972721099854}, {'gene': 'BCL2', 'before': 3.7727036476135254, 'after': 1.6435980796813965, 'healthy': -0.05811699479818344, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.129105567932129}, {'gene': 'BLK', 'before': 3.2708640098571777, 'after': 1.4514760971069336, 'healthy': 0.028488093987107277, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.8193879127502441}, {'gene': 'BTK', 'before': 5.649329662322998, 'after': 2.4772610664367676, 'healthy': -0.0036918609403073788, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.1720685958862305}, {'gene': 'FAS', 'before': 5.969043731689453, 'after': 2.6841378211975098, 'healthy': 0.058634355664253235, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.2849059104919434}, {'gene': 'FASLG', 'before': 4.110623836517334, 'after': 1.8568212985992432, 'healthy': 0.05544064939022064, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.253802537918091}, {'gene': 'IFNG', 'before': 4.731197834014893, 'after': 2.223712921142578, 'healthy': 0.21957331895828247, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.5074849128723145}, {'gene': 'IL6', 'before': 2.503323554992676, 'after': 1.1401453018188477, 'healthy': 0.05060740187764168, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.3631782531738281}, {'gene': 'JAK2', 'before': 5.95825719833374, 'after': 2.606888771057129, 'healthy': -0.014298329129815102, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.3513684272766113}, {'gene': 'LCK', 'before': 4.559950351715088, 'after': 1.9724912643432617, 'healthy': -0.05122360214591026, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.587459087371826}, {'gene': 'LYN', 'before': 6.022873401641846, 'after': 2.58782958984375, 'healthy': -0.09880254417657852, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.4350438117980957}, {'gene': 'STAT1', 'before': 7.684042930603027, 'after': 3.4630651473999023, 'healthy': 0.089394211769104, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 4.220977783203125}, {'gene': 'SYK', 'before': 7.0293731689453125, 'after': 3.069737672805786, 'healthy': -0.02719000354409218, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.9596354961395264}, {'gene': 'TYK2', 'before': 5.511632919311523, 'after': 2.3836252689361572, 'healthy': -0.06286629289388657, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.128007650375366}]",0.5836058251677687,1.0,0.6877043688758265
lapatinib + tozasertib,lapatinib,tozasertib,17.581510543823242,16.815357208251953,4.357721901434999,9,"{'T_Cell_Activation': 1, 'Antigen_Presentation': 1, 'JAK_STAT_Signaling': 1}",T_Cell_Activation,"[{'gene': 'BLK', 'before': 3.2708640098571777, 'after': 1.327775478363037, 'healthy': 0.028488093987107277, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.9430885314941406}, {'gene': 'BTK', 'before': 5.649329662322998, 'after': 2.2615914344787598, 'healthy': -0.0036918609403073788, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.3877382278442383}, {'gene': 'HLA-A', 'before': 8.712360382080078, 'after': 3.10744571685791, 'healthy': 0.0894147977232933, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 5.604914665222168}, {'gene': 'HLA-B', 'before': 8.4188814163208, 'after': 2.8858489990234375, 'healthy': -0.09347673505544662, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 5.533032417297363}, {'gene': 'HLA-DQA1', 'before': 2.699897527694702, 'after': 1.0108575820922852, 'healthy': 0.10137441009283066, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.689039945602417}, {'gene': 'JAK2', 'before': 5.95825719833374, 'after': 2.379028797149658, 'healthy': -0.014298329129815102, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.579228401184082}, {'gene': 'LCK', 'before': 4.559950351715088, 'after': 1.796569585800171, 'healthy': -0.05122360214591026, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.763380765914917}, {'gene': 'LYN', 'before': 6.022873401641846, 'after': 2.3542802333831787, 'healthy': -0.09880254417657852, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.668593168258667}, {'gene': 'TYK2', 'before': 5.511632919311523, 'after': 2.1709513664245605, 'healthy': -0.06286629289388657, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.340681552886963}]",0.6715513010680946,0.375,0.597413475801071
lapatinib + PF-562271,lapatinib,PF-562271,17.581510543823242,16.816387176513672,4.3518636547322975,9,"{'T_Cell_Activation': 1, 'Antigen_Presentation': 1, 'JAK_STAT_Signaling': 1}",T_Cell_Activation,"[{'gene': 'BLK', 'before': 3.2708640098571777, 'after': 1.3700863122940063, 'healthy': 0.028488093987107277, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.9007776975631714}, {'gene': 'BTK', 'before': 5.649329662322998, 'after': 2.3353593349456787, 'healthy': -0.0036918609403073788, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.3139703273773193}, {'gene': 'HLA-A', 'before': 8.712360382080078, 'after': 3.10744571685791, 'healthy': 0.0894147977232933, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 5.604914665222168}, {'gene': 'HLA-B', 'before': 8.4188814163208, 'after': 2.8858489990234375, 'healthy': -0.09347673505544662, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 5.533032417297363}, {'gene': 'HLA-DQA1', 'before': 2.699897527694702, 'after': 1.0108575820922852, 'healthy': 0.10137441009283066, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.689039945602417}, {'gene': 'JAK2', 'before': 5.95825719833374, 'after': 2.4569664001464844, 'healthy': -0.014298329129815102, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.501290798187256}, {'gene': 'LCK', 'before': 4.559950351715088, 'after': 1.8567421436309814, 'healthy': -0.05122360214591026, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.7032082080841064}, {'gene': 'LYN', 'before': 6.022873401641846, 'after': 2.434163808822632, 'healthy': -0.09880254417657852, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.588709592819214}, {'gene': 'TYK2', 'before': 5.511632919311523, 'after': 2.24369478225708, 'healthy': -0.06286629289388657, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.2679381370544434}]",0.6700624755308767,0.375,0.5962968566481576
dovitinib + lapatinib,dovitinib,lapatinib,17.581510543823242,16.81739044189453,4.346157288499665,9,"{'T_Cell_Activation': 1, 'Antigen_Presentation': 1, 'JAK_STAT_Signaling': 1}",T_Cell_Activation,"[{'gene': 'BLK', 'before': 3.2708640098571777, 'after': 1.5070819854736328, 'healthy': 0.028488093987107277, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.763782024383545}, {'gene': 'BTK', 'before': 5.649329662322998, 'after': 2.574208974838257, 'healthy': -0.0036918609403073788, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.075120687484741}, {'gene': 'HLA-A', 'before': 8.712360382080078, 'after': 2.2451510429382324, 'healthy': 0.0894147977232933, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 6.467209339141846}, {'gene': 'HLA-B', 'before': 8.4188814163208, 'after': 2.0346131324768066, 'healthy': -0.09347673505544662, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 6.384268283843994}, {'gene': 'HLA-DQA1', 'before': 2.699897527694702, 'after': 0.7510051727294922, 'healthy': 0.10137441009283066, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.94889235496521}, {'gene': 'JAK2', 'before': 5.95825719833374, 'after': 2.7093167304992676, 'healthy': -0.014298329129815102, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.2489404678344727}, {'gene': 'LCK', 'before': 4.559950351715088, 'after': 2.051571846008301, 'healthy': -0.05122360214591026, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.508378505706787}, {'gene': 'LYN', 'before': 6.022873401641846, 'after': 2.692814588546753, 'healthy': -0.09880254417657852, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.3300588130950928}, {'gene': 'TYK2', 'before': 5.511632919311523, 'after': 2.479226589202881, 'healthy': -0.06286629289388657, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.0324063301086426}]",0.6686122491742532,0.375,0.5952091868806899
cisplatin + lapatinib,cisplatin,lapatinib,17.581510543823242,17.00423240661621,3.2834387908144866,10,"{'Inflammatory_Response': 1, 'Antigen_Presentation': 1, 'JAK_STAT_Signaling': 1, 'Apoptosis_Cell_Stress': 2}",Apoptosis_Cell_Stress,"[{'gene': 'BAX', 'before': 4.901892185211182, 'after': 2.6525142192840576, 'healthy': -0.033300742506980896, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.249377965927124}, {'gene': 'BCL2', 'before': 3.7727036476135254, 'after': 2.0266799926757812, 'healthy': -0.05811699479818344, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.7460236549377441}, {'gene': 'FAS', 'before': 5.969043731689453, 'after': 3.2751784324645996, 'healthy': 0.058634355664253235, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.6938652992248535}, {'gene': 'FASLG', 'before': 4.110623836517334, 'after': 2.2623393535614014, 'healthy': 0.05544064939022064, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.8482844829559326}, {'gene': 'HLA-A', 'before': 8.712360382080078, 'after': 2.2451510429382324, 'healthy': 0.0894147977232933, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 6.467209339141846}, {'gene': 'HLA-B', 'before': 8.4188814163208, 'after': 2.0346131324768066, 'healthy': -0.09347673505544662, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 6.384268283843994}, {'gene': 'HLA-DQA1', 'before': 2.699897527694702, 'after': 0.7510051727294922, 'healthy': 0.10137441009283066, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.94889235496521}, {'gene': 'IFNG', 'before': 4.731197834014893, 'after': 2.674875259399414, 'healthy': 0.21957331895828247, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.0563225746154785}, {'gene': 'IL6', 'before': 2.503323554992676, 'after': 1.3854167461395264, 'healthy': 0.05060740187764168, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.1179068088531494}, {'gene': 'STAT1', 'before': 7.684042930603027, 'after': 4.222529411315918, 'healthy': 0.089394211769104, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.4615135192871094}]",0.39853102546994523,0.5,0.4238982691024589
cisplatin + PF-562271,cisplatin,PF-562271,17.581510543823242,17.115907669067383,2.6482529677715068,13,"{'Inflammatory_Response': 1, 'T_Cell_Activation': 1, 'JAK_STAT_Signaling': 2, 'Apoptosis_Cell_Stress': 2}",JAK_STAT_Signaling,"[{'gene': 'BAX', 'before': 4.901892185211182, 'after': 2.6525142192840576, 'healthy': -0.033300742506980896, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.249377965927124}, {'gene': 'BCL2', 'before': 3.7727036476135254, 'after': 2.0266799926757812, 'healthy': -0.05811699479818344, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.7460236549377441}, {'gene': 'BLK', 'before': 3.2708640098571777, 'after': 1.3700863122940063, 'healthy': 0.028488093987107277, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.9007776975631714}, {'gene': 'BTK', 'before': 5.649329662322998, 'after': 2.3353593349456787, 'healthy': -0.0036918609403073788, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.3139703273773193}, {'gene': 'FAS', 'before': 5.969043731689453, 'after': 3.2751784324645996, 'healthy': 0.058634355664253235, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.6938652992248535}, {'gene': 'FASLG', 'before': 4.110623836517334, 'after': 2.2623393535614014, 'healthy': 0.05544064939022064, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.8482844829559326}, {'gene': 'IFNG', 'before': 4.731197834014893, 'after': 2.674875259399414, 'healthy': 0.21957331895828247, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.0563225746154785}, {'gene': 'IL6', 'before': 2.503323554992676, 'after': 1.3854167461395264, 'healthy': 0.05060740187764168, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.1179068088531494}, {'gene': 'JAK2', 'before': 5.95825719833374, 'after': 2.4569664001464844, 'healthy': -0.014298329129815102, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.501290798187256}, {'gene': 'LCK', 'before': 4.559950351715088, 'after': 1.8567421436309814, 'healthy': -0.05122360214591026, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.7032082080841064}, {'gene': 'LYN', 'before': 6.022873401641846, 'after': 2.434163808822632, 'healthy': -0.09880254417657852, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.588709592819214}, {'gene': 'STAT1', 'before': 7.684042930603027, 'after': 4.222529411315918, 'healthy': 0.089394211769104, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.4615135192871094}, {'gene': 'TYK2', 'before': 5.511632919311523, 'after': 2.24369478225708, 'healthy': -0.06286629289388657, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.2679381370544434}]",0.23710373805493223,0.875,0.3965778035411992
cisplatin + tozasertib,cisplatin,tozasertib,17.581510543823242,17.116985321044922,2.642123505943679,13,"{'Inflammatory_Response': 1, 'T_Cell_Activation': 1, 'JAK_STAT_Signaling': 2, 'Apoptosis_Cell_Stress': 2}",JAK_STAT_Signaling,"[{'gene': 'BAX', 'before': 4.901892185211182, 'after': 2.6525142192840576, 'healthy': -0.033300742506980896, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.249377965927124}, {'gene': 'BCL2', 'before': 3.7727036476135254, 'after': 2.0266799926757812, 'healthy': -0.05811699479818344, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.7460236549377441}, {'gene': 'BLK', 'before': 3.2708640098571777, 'after': 1.327775478363037, 'healthy': 0.028488093987107277, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.9430885314941406}, {'gene': 'BTK', 'before': 5.649329662322998, 'after': 2.2615914344787598, 'healthy': -0.0036918609403073788, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.3877382278442383}, {'gene': 'FAS', 'before': 5.969043731689453, 'after': 3.2751784324645996, 'healthy': 0.058634355664253235, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.6938652992248535}, {'gene': 'FASLG', 'before': 4.110623836517334, 'after': 2.2623393535614014, 'healthy': 0.05544064939022064, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.8482844829559326}, {'gene': 'IFNG', 'before': 4.731197834014893, 'after': 2.674875259399414, 'healthy': 0.21957331895828247, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.0563225746154785}, {'gene': 'IL6', 'before': 2.503323554992676, 'after': 1.3854167461395264, 'healthy': 0.05060740187764168, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.1179068088531494}, {'gene': 'JAK2', 'before': 5.95825719833374, 'after': 2.379028797149658, 'healthy': -0.014298329129815102, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.579228401184082}, {'gene': 'LCK', 'before': 4.559950351715088, 'after': 1.796569585800171, 'healthy': -0.05122360214591026, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.763380765914917}, {'gene': 'LYN', 'before': 6.022873401641846, 'after': 2.3542802333831787, 'healthy': -0.09880254417657852, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.668593168258667}, {'gene': 'STAT1', 'before': 7.684042930603027, 'after': 4.222529411315918, 'healthy': 0.089394211769104, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.4615135192871094}, {'gene': 'TYK2', 'before': 5.511632919311523, 'after': 2.1709513664245605, 'healthy': -0.06286629289388657, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.340681552886963}]",0.23554598540950972,0.875,0.3954094890571323
dovitinib + cisplatin,dovitinib,cisplatin,17.581510543823242,17.12752342224121,2.582184963291033,13,"{'Inflammatory_Response': 1, 'T_Cell_Activation': 1, 'JAK_STAT_Signaling': 2, 'Apoptosis_Cell_Stress': 2}",JAK_STAT_Signaling,"[{'gene': 'BAX', 'before': 4.901892185211182, 'after': 2.1589949131011963, 'healthy': -0.033300742506980896, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.7428972721099854}, {'gene': 'BCL2', 'before': 3.7727036476135254, 'after': 1.6435980796813965, 'healthy': -0.05811699479818344, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.129105567932129}, {'gene': 'BLK', 'before': 3.2708640098571777, 'after': 1.5070819854736328, 'healthy': 0.028488093987107277, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.763782024383545}, {'gene': 'BTK', 'before': 5.649329662322998, 'after': 2.574208974838257, 'healthy': -0.0036918609403073788, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.075120687484741}, {'gene': 'FAS', 'before': 5.969043731689453, 'after': 2.6841378211975098, 'healthy': 0.058634355664253235, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.2849059104919434}, {'gene': 'FASLG', 'before': 4.110623836517334, 'after': 1.8568212985992432, 'healthy': 0.05544064939022064, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.253802537918091}, {'gene': 'IFNG', 'before': 4.731197834014893, 'after': 2.223712921142578, 'healthy': 0.21957331895828247, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.5074849128723145}, {'gene': 'IL6', 'before': 2.503323554992676, 'after': 1.1401453018188477, 'healthy': 0.05060740187764168, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 1.3631782531738281}, {'gene': 'JAK2', 'before': 5.95825719833374, 'after': 2.7093167304992676, 'healthy': -0.014298329129815102, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.2489404678344727}, {'gene': 'LCK', 'before': 4.559950351715088, 'after': 2.051571846008301, 'healthy': -0.05122360214591026, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.508378505706787}, {'gene': 'LYN', 'before': 6.022873401641846, 'after': 2.692814588546753, 'healthy': -0.09880254417657852, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.3300588130950928}, {'gene': 'STAT1', 'before': 7.684042930603027, 'after': 3.4630651473999023, 'healthy': 0.089394211769104, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 4.220977783203125}, {'gene': 'TYK2', 'before': 5.511632919311523, 'after': 2.479226589202881, 'healthy': -0.06286629289388657, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.0324063301086426}]",0.22031309449630837,0.875,0.3839848208722313
NVP-TAE684 + PF-562271,NVP-TAE684,PF-562271,17.581510543823242,17.05655288696289,2.9858507069222235,7,"{'T_Cell_Activation': 1, 'JAK_STAT_Signaling': 1}",T_Cell_Activation,"[{'gene': 'BLK', 'before': 3.2708640098571777, 'after': 0.6172779202461243, 'healthy': 0.028488093987107277, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 2.6535860896110535}, {'gene': 'BTK', 'before': 5.649329662322998, 'after': 1.0228521823883057, 'healthy': -0.0036918609403073788, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 4.626477479934692}, {'gene': 'JAK2', 'before': 5.95825719833374, 'after': 1.0702704191207886, 'healthy': -0.014298329129815102, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 4.887986779212952}, {'gene': 'LCK', 'before': 4.559950351715088, 'after': 0.7861291170120239, 'healthy': -0.05122360214591026, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.773821234703064}, {'gene': 'LYN', 'before': 6.022873401641846, 'after': 1.0128453969955444, 'healthy': -0.09880254417657852, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 5.010028004646301}, {'gene': 'SYK', 'before': 7.0293731689453125, 'after': 3.069737672805786, 'healthy': -0.02719000354409218, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 3.9596354961395264}, {'gene': 'TYK2', 'before': 5.511632919311523, 'after': 0.9494187831878662, 'healthy': -0.06286629289388657, 'direction': '✅ Improved (toward healthy)', 'improvement_score': 4.562214136123657}]",0.32290144526360487,0.125,0.2734260839477036
