drug_name,best_model_name,pred_log10_ic50,pred_ic50,n_train_rows,cv_mae,cv_rmse,cv_r2,cv_pearson,cv_spearman,confidence_score_raw,model_results,weighted_targets,n_main_targets,n_indirect_targets,n_unique_signature_genes,n_interactions,direct_targets,indirect_targets,ic50_class,score_targets,score_model,score_conf,final_score,score_ic50,recommendation,drug_name_norm,risk_reduction_pct,n_valid_targets_in_twin,top_pathway,score_twin,pathway_coverage_score,combined_score
NVP-TAE684,elasticnet,-0.030131231958234413,0.9329723393804392,427,0.23132486169784935,0.2769939902768416,0.019099171744526022,0.16185131347839,0.18293813748123797,0.6135451696327925,"          model_name    cv_mae   cv_rmse     cv_r2  cv_pearson  cv_spearman
0         elasticnet  0.231325  0.276994  0.019099    0.161851     0.182938
1      random_forest  0.232517  0.278722  0.006823    0.150931     0.145602
2        extra_trees  0.232168  0.280639 -0.006886    0.139425     0.137165
3              lasso  0.228510  0.281103 -0.010217    0.180691     0.177666
4            xgboost  0.239707  0.291723 -0.087993    0.084330     0.078033
5  gradient_boosting  0.238625  0.294369 -0.107820    0.082659     0.078413
6              ridge  0.388244  0.502939 -2.233816   -0.003390     0.000161",17,5,7,7,7,"['BLK', 'BTK', 'JAK2', 'LYN', 'TYK2']","['BLK', 'BTK', 'JAK2', 'LCK', 'LYN', 'SYK', 'TYK2']",MEDIUM,1.0,0.6837349841360356,0.5556399768230957,0.870092993343369,0.9999999999756588,Better,nvp-tae684,3.191778927127208,7.0,T_Cell_Activation,1.0,1.0,0.8971058446868256
lapatinib,extra_trees,0.17512506813717427,1.4966666041302035,360,0.24191298234871728,0.34722422577874684,0.11686277421847724,0.3419003152207747,0.39427130353372064,0.6726294980019926,"          model_name    cv_mae   cv_rmse     cv_r2  cv_pearson  cv_spearman
0        extra_trees  0.241913  0.347224  0.116863    0.341900     0.394271
1            xgboost  0.249450  0.350047  0.102445    0.335939     0.385375
2      random_forest  0.247721  0.352732  0.088621    0.302744     0.364734
3         elasticnet  0.249708  0.354356  0.080213    0.299676     0.332249
4              lasso  0.261178  0.369803 -0.001724    0.280599     0.339737
5  gradient_boosting  0.262300  0.381092 -0.063820    0.244505     0.358628
6              ridge  0.522279  0.676181 -2.349146    0.097719     0.100459",9,4,1,4,4,"['HLA-A', 'HLA-B', 'HLA-DQA1', 'HLA-DRB1']",['HLA-DQA1'],HIGH (worse sensitivity),0.3,0.9766329599425071,1.0,0.7503265919767207,0.9999999999607306,Better,lapatinib,2.4516111534508056,3.0,Antigen_Presentation,0.6751822211219393,0.42857142857142855,0.7168178866393458
dovitinib,elasticnet,0.5602958686257986,3.633254905761961,330,0.22884998966893116,0.3911280338506392,0.01773781692388443,0.13488968666029205,0.16735991398201336,0.6021436238598354,"          model_name    cv_mae   cv_rmse     cv_r2  cv_pearson  cv_spearman
0         elasticnet  0.228850  0.391128  0.017738    0.134890     0.167360
1        extra_trees  0.233547  0.393653  0.005014    0.161757     0.191338
2      random_forest  0.241723  0.398378 -0.019012    0.142871     0.170488
3            xgboost  0.248197  0.405144 -0.053921    0.152995     0.194321
4  gradient_boosting  0.258213  0.416117 -0.111785    0.123953     0.187080
5              lasso  0.271668  0.431161 -0.193625    0.066244     0.107291
6              ridge  0.673157  0.881494 -3.989168   -0.009210    -0.006566",16,5,6,6,6,"['BLK', 'BTK', 'JAK2', 'LYN', 'TYK2']","['BLK', 'BTK', 'JAK2', 'LCK', 'LYN', 'TYK2']",HIGH (worse sensitivity),0.95,0.6668355357600879,0.46989150030212423,0.8363508321685806,0.999999999904148,Better,dovitinib,1.859949933687902,6.0,T_Cell_Activation,0.4155355706103872,0.8571428571428571,0.654498759933995
tozasertib,extra_trees,-0.11681816316400422,0.7641556646006877,402,0.6931588897984822,4.0736089415129655,-0.035245095456960085,-0.006112907346086273,0.10491816087720404,0.5724265523766023,"          model_name    cv_mae   cv_rmse     cv_r2  cv_pearson  cv_spearman
0        extra_trees  0.693159  4.073609 -0.035245   -0.006113     0.104918
1      random_forest  0.676795  4.105683 -0.051612    0.002369     0.204364
2            xgboost  0.726605  4.175082 -0.087463    0.012482     0.178625
3         elasticnet  1.979662  4.725238 -0.392938    0.003180     0.060019
4  gradient_boosting  1.004668  6.418245 -1.569906    0.010849     0.132986
5              lasso  3.638202  6.456986 -1.601023    0.002845     0.045067
6              ridge  4.414130  7.472400 -2.483411    0.001081     0.019706",16,5,6,6,6,"['BLK', 'BTK', 'JAK2', 'LYN', 'TYK2']","['BLK', 'BTK', 'JAK2', 'LCK', 'LYN', 'TYK2']",MEDIUM,0.95,0.30886854240293216,0.2463960500276514,0.7312331159787729,0.9999999999801295,Better,tozasertib,1.8087553666692884,6.0,T_Cell_Activation,0.3930691702333287,0.8571428571428571,0.5769830024891637
PF-562271,extra_trees,0.47659215958164747,2.9963473656967423,410,0.30446334833289646,0.7409410985036646,-0.049535159129830975,0.011452005087458353,0.020044372806442893,0.5637510687135387,"          model_name    cv_mae   cv_rmse     cv_r2  cv_pearson  cv_spearman
0        extra_trees  0.304463  0.740941 -0.049535    0.011452     0.020044
1         elasticnet  0.302918  0.742793 -0.054788   -0.066594    -0.084731
2      random_forest  0.332577  0.766604 -0.123496    0.043098     0.049509
3            xgboost  0.356346  0.822469 -0.293208   -0.011495     0.005759
4  gradient_boosting  0.366911  0.850253 -0.382058    0.019456     0.009340
5              lasso  0.537925  0.924503 -0.633977   -0.071625    -0.045956
6              ridge  0.999119  1.387286 -2.679272   -0.035873    -0.049925",16,5,6,6,6,"['BLK', 'BTK', 'JAK2', 'LYN', 'TYK2']","['BLK', 'BTK', 'JAK2', 'LCK', 'LYN', 'TYK2']",HIGH (worse sensitivity),0.95,0.440051175831025,0.1811496771231339,0.7476826867109795,0.9999999999210151,Better,pf-562271,1.791430144476297,6.0,T_Cell_Activation,0.3854661099658647,0.8571428571428571,0.5751996009345925
cisplatin,elasticnet,0.7227182616208161,5.281025464609643,296,0.09991982402404452,0.13839400819354042,-0.005512597681572418,-0.09898683969119436,-0.053984358000865595,0.5435093049631637,"          model_name    cv_mae   cv_rmse     cv_r2  cv_pearson  cv_spearman
0         elasticnet  0.099920  0.138394 -0.005513   -0.098987    -0.053984
1              lasso  0.098927  0.139253 -0.018030    0.093085     0.083274
2        extra_trees  0.099179  0.140234 -0.032432    0.089490     0.138034
3      random_forest  0.098174  0.141142 -0.045833    0.053020     0.149448
4  gradient_boosting  0.100550  0.144499 -0.096180    0.091260     0.113135
5            xgboost  0.105449  0.149576 -0.174565    0.008835     0.085765
6              ridge  0.290880  0.391113 -7.030760    0.003165    -0.016587",17,5,7,7,9,"['FAS', 'FASLG', 'IFNG', 'IL6', 'STAT1']","['BAX', 'BCL2', 'FAS', 'FASLG', 'IFNG', 'IL6', 'STAT1']",HIGH (worse sensitivity),1.0,0.5385250246596691,0.02891589775183709,0.7620423895528625,0.9999999998605106,Better,cisplatin,0.9130619916411499,7.0,Apoptosis_Cell_Stress,0.0,1.0,0.4458106650739718
paclitaxel,extra_trees,-1.2680566457152798,0.05394402578814149,466,0.3316285971032657,0.4528726977344609,0.08381534491804432,0.29098524300500134,0.3129950986335881,0.6577400297914313,"          model_name    cv_mae   cv_rmse     cv_r2  cv_pearson  cv_spearman
0        extra_trees  0.331629  0.452873  0.083815    0.290985     0.312995
1      random_forest  0.340574  0.461584  0.048230    0.229472     0.298247
2         elasticnet  0.344325  0.467934  0.021861    0.147862     0.205856
3            xgboost  0.340179  0.468477  0.019592    0.238900     0.312673
4              lasso  0.350115  0.479467 -0.026948    0.243960     0.292890
5  gradient_boosting  0.356738  0.484092 -0.046856    0.178430     0.255115
6              ridge  0.534739  0.722348 -1.330900    0.127997     0.176214",11,3,5,5,6,"['FCGR2A', 'IL2RA', 'JAK2']","['BCL2', 'FCGR2A', 'IL2RA', 'JAK2', 'SYK']",LOW (better sensitivity),0.1,0.8626511312105613,0.8880196386799285,0.6407331720437828,0.9999999999989378,Maybe,paclitaxel,,,,0.0,0.0,0.3771318912876951
digoxin,extra_trees,-0.42184318607316296,0.37857925645858787,441,0.19011875203989242,0.2420001645891484,0.08470189904942216,0.2942719472580842,0.24572164530147725,0.6502732751269064,"          model_name    cv_mae   cv_rmse     cv_r2  cv_pearson  cv_spearman
0        extra_trees  0.190119  0.242000  0.084702    0.294272     0.245722
1      random_forest  0.191981  0.243133  0.076114    0.279860     0.233294
2            xgboost  0.192643  0.247448  0.043030    0.260732     0.224500
3              lasso  0.193766  0.247772  0.040518    0.251633     0.224677
4  gradient_boosting  0.198111  0.249566  0.026579    0.254887     0.208317
5         elasticnet  0.200641  0.250408  0.019993    0.174085     0.157832
6              ridge  0.307747  0.402425 -1.531051    0.039752     0.066210",9,3,3,3,3,"['RORC', 'STAT3', 'TNF']","['RORC', 'STAT3', 'TNF']",MEDIUM,0.0,0.8736829253141183,0.8318638463173269,0.5995161620075249,0.9999999999903406,Maybe,digoxin,,,,0.0,0.0,0.35296865753511886
melphalan,random_forest,0.15951567762051078,1.443828724202923,314,0.20415382573837906,0.2692495272428829,0.09325174724347118,0.30946663707842004,0.24906038115781504,0.6460430902605474,"          model_name    cv_mae   cv_rmse     cv_r2  cv_pearson  cv_spearman
0      random_forest  0.204154  0.269250  0.093252    0.309467     0.249060
1        extra_trees  0.204275  0.271143  0.080451    0.292428     0.236070
2              lasso  0.203934  0.272279  0.072732    0.331424     0.321107
3         elasticnet  0.205168  0.273798  0.062358    0.292062     0.278300
4            xgboost  0.210934  0.280518  0.015768    0.247370     0.218929
5  gradient_boosting  0.217654  0.288108 -0.038217    0.198362     0.196957
6              ridge  0.418395  0.547292 -2.746414    0.154507     0.194759",9,3,3,3,3,"['CTLA4', 'IFNG', 'RORC']","['CTLA4', 'IFNG', 'RORC']",MEDIUM,0.0,0.8935628909927792,0.8000495717517937,0.5987200139499639,0.99999999996213,Maybe,melphalan,,,,0.0,0.0,0.3494289634526631
sirolimus,random_forest,-1.5822335934929888,0.026167751476741715,423,1.0691919754918866,1.3499272080275844,0.01491824491742888,0.14548548162921318,0.16311105445639054,0.6084539826768551,"          model_name    cv_mae   cv_rmse     cv_r2  cv_pearson  cv_spearman
0      random_forest  1.069192  1.349927  0.014918    0.145485     0.163111
1        extra_trees  1.070552  1.353296  0.009996    0.147063     0.182773
2            xgboost  1.096904  1.392127 -0.047633    0.124775     0.141302
3  gradient_boosting  1.107895  1.405330 -0.067600    0.121627     0.136867
4         elasticnet  1.107083  1.412339 -0.078275    0.083138     0.121163
5              lasso  1.352408  1.745399 -0.646800    0.062112     0.085274
6              ridge  1.911344  2.482294 -2.330873   -0.028978    -0.012593",13,4,5,5,5,"['CTLA4', 'IL10', 'IL17A', 'JAK2']","['BAX', 'CTLA4', 'IL10', 'IL17A', 'JAK2']",LOW (better sensitivity),0.5,0.5352866778118018,0.5173502980507194,0.6596598802698703,0.9999999999996734,Maybe,sirolimus,,,,0.0,0.0,0.3485819759265136
